Date,Open,High,Low,Close,Adj Close,Volume
2021-05-14,112.709999,113.739998,112.110001,113.260002,108.711189,2163400
2021-05-17,113.489998,113.660004,111.930000,112.470001,107.952927,1537900
2021-05-18,112.239998,112.400002,110.660004,110.760002,106.311592,2186700
2021-05-19,110.000000,110.989998,109.040001,110.739998,106.292389,3252700
2021-05-20,110.940002,112.820000,110.660004,111.959999,107.463402,3039100
2021-05-21,112.360001,113.690002,112.349998,113.160004,108.615196,2578900
2021-05-24,113.660004,114.379997,112.699997,112.970001,108.432838,2218300
2021-05-25,113.269997,113.430000,112.110001,112.379997,107.866524,1591200
2021-05-26,113.089996,113.809998,111.959999,112.370003,107.856934,2508800
2021-05-27,112.820000,112.989998,111.970001,112.019997,107.520973,3545800
2021-05-28,112.419998,113.139999,112.070000,112.879997,108.346451,3193400
2021-06-01,113.860001,114.000000,109.599998,109.809998,105.399742,3792500
2021-06-02,110.059998,111.940002,110.059998,111.750000,107.261833,3261900
2021-06-03,111.480003,112.550003,110.760002,111.599998,107.117844,2508300
2021-06-04,111.959999,112.559998,111.419998,112.180000,107.674561,2367800
2021-06-07,112.230003,112.230003,110.180000,110.400002,105.966072,1910900
2021-06-08,110.580002,111.419998,110.019997,111.080002,106.618736,2520500
2021-06-09,111.150002,111.720001,110.739998,110.849998,106.397972,2018700
2021-06-10,110.790001,111.949997,110.739998,111.720001,107.233032,2848600
2021-06-11,112.099998,113.150002,112.099998,112.669998,108.144882,3121900
2021-06-14,112.699997,113.919998,112.239998,113.839996,109.267876,4195900
2021-06-15,113.889999,114.680000,113.230003,114.040001,109.778084,2554100
2021-06-16,114.489998,114.900002,113.410004,113.839996,109.585548,3245400
2021-06-17,113.800003,114.419998,113.010002,114.019997,109.758827,2813700
2021-06-18,113.599998,113.680000,112.330002,112.760002,108.545914,7058400
2021-06-21,113.120003,114.220001,112.199997,113.699997,109.450790,3099500
2021-06-22,113.650002,114.800003,113.540001,114.449997,110.172760,2329400
2021-06-23,116.459999,117.139999,115.639999,116.639999,112.280930,3183700
2021-06-24,116.870003,118.110001,116.559998,118.089996,113.676720,3062300
2021-06-25,118.669998,119.470001,118.309998,119.320000,114.860771,5260500
2021-06-28,119.230003,119.660004,117.809998,118.790001,114.350578,3159600
2021-06-29,119.080002,119.449997,118.489998,118.760002,114.321693,1579800
2021-06-30,118.660004,118.910004,118.260002,118.699997,114.263931,1750800
2021-07-01,118.910004,119.279999,118.680000,118.839996,114.398689,1962000
2021-07-02,119.120003,119.150002,118.540001,118.830002,114.389076,1350400
2021-07-06,119.059998,119.190002,117.190002,117.980003,113.570839,2200800
2021-07-07,118.790001,119.110001,117.690002,118.000000,113.590103,2201900
2021-07-08,116.849998,118.230003,116.510002,118.059998,113.647865,2177100
2021-07-09,118.080002,119.000000,117.949997,118.970001,114.523842,1611300
2021-07-12,118.989998,119.349998,118.570000,119.059998,114.610466,2302200
2021-07-13,119.040001,119.300003,118.419998,118.690002,114.254311,1359400
2021-07-14,118.300003,118.690002,117.470001,118.180000,113.763367,2922100
2021-07-15,117.620003,118.419998,117.500000,117.989998,113.580444,1607200
2021-07-16,118.360001,118.839996,117.739998,118.059998,113.647865,1435200
2021-07-19,117.239998,118.400002,116.620003,117.360001,112.974007,3704600
2021-07-20,117.550003,119.660004,117.410004,119.139999,114.687500,2180800
2021-07-21,119.500000,120.830002,119.360001,120.230003,115.736755,1541700
2021-07-22,120.599998,120.650002,119.629997,120.370003,115.871521,1541700
2021-07-23,120.540001,121.599998,120.389999,121.360001,116.824516,1347100
2021-07-26,121.150002,121.180000,119.790001,120.430000,115.929291,1283500
2021-07-27,120.279999,121.839996,119.860001,121.050003,116.526108,1941900
2021-07-28,121.379997,121.809998,120.550003,121.320000,116.786034,1672400
2021-07-29,119.820000,122.419998,119.750000,120.820000,116.304688,3461600
2021-07-30,119.730003,121.389999,119.610001,119.830002,115.351700,2381300
2021-08-02,120.250000,120.620003,119.239998,119.430000,114.966652,1993200
2021-08-03,119.150002,119.559998,117.559998,119.120003,114.668236,2256200
2021-08-04,119.089996,119.790001,118.500000,119.529999,115.062920,1459000
2021-08-05,119.930000,119.980003,118.570000,119.419998,114.957024,1600200
2021-08-06,119.889999,120.230003,119.480003,120.000000,115.515366,1505700
2021-08-09,120.180000,120.519997,119.260002,119.970001,115.486465,1412900
2021-08-10,120.220001,120.220001,118.750000,119.589996,115.120667,1776400
2021-08-11,119.970001,120.089996,118.510002,118.720001,114.283173,1600500
2021-08-12,118.459999,118.459999,117.250000,118.040001,113.628601,1733200
2021-08-13,118.000000,118.120003,116.660004,116.879997,112.511948,1356500
2021-08-16,116.440002,118.099998,115.949997,118.040001,113.628601,1505600
2021-08-17,117.620003,118.309998,117.089996,117.610001,113.214676,1673700
2021-08-18,117.769997,117.860001,115.309998,115.389999,111.077629,2444800
2021-08-19,114.279999,116.779999,114.019997,116.379997,112.030640,2061300
2021-08-20,116.720001,117.919998,116.190002,117.150002,112.771873,1982400
2021-08-23,117.709999,118.720001,117.529999,118.070000,113.657463,1504200
2021-08-24,118.300003,118.389999,117.120003,117.400002,113.012520,989900
2021-08-25,117.610001,117.910004,117.199997,117.300003,112.916245,1037000
2021-08-26,117.480003,117.779999,117.139999,117.550003,113.156914,1509100
2021-08-27,117.769997,118.570000,117.550003,118.410004,113.984772,1598500
2021-08-30,118.699997,120.080002,118.419998,119.360001,114.899261,1374400
2021-08-31,119.550003,119.940002,119.199997,119.529999,115.062920,2399700
2021-09-01,119.730003,120.949997,118.949997,120.620003,116.112175,1398900
2021-09-02,120.940002,121.500000,120.010002,120.730003,116.218063,1376800
